-1.,-1.,-1.,-1.,-1.,-1.4376989
-1.,-1.,0.,-1.,0.,1.
0.,0.,-1.,-1.,1.,-1.
0.,-1.,-1.,-1.,-1.81956101,0.
0.,1.,0.,2.,-1.,0.
0.,-1.,1.,-1.99473796,0.,-1.
1.,2.,-1.87909891,-1.,-1.,-1.70889691
-1.,0.,-1.03054522,-1.05309899,2.,1.
0.,-1.21328876,-1.56598546,1.,-1.,0.
-1.,-1.07103295,-1.,-1.,-1.,0.
0.,-1.,1.,-1.,0.,0.
2.,0.,0.,0.,2.,-1.
-2.,-1.,1.,0.,-1.,-1.
-1.,-1.51294637,-1.26064983,-1.,0.,0.
-1.5455668,0.,0.,0.,-1.03038047,0.
-1.,0.,-1.,-1.,0.,-1.
1.,-1.90452928,-1.,-1.,-1.,0.
-1.,2.,0.,0.,-1.,0.
-1.,0.,-1.,1.,0.,0.
-1.19021722,1.,0.,-2.,-1.,-1.
-1.,0.,-1.,-1.,-1.,-1.
-1.,0.,-2.,-1.,0.,1.
2.,0.,-1.,0.,0.,-1.
-1.,-1.,-1.,-1.,1.,0.
-1.,-1.18387478,1.,-1.,0.,-1.
-1.,-1.,0.,-1.45104969,-1.,1.
-1.24309591,0.,-1.,-1.,-1.,-1.08339038
2.,1.,-1.,-1.,0.,-1.
0.,0.,-1.34801894,2.,1.,-1.09114181
0.,-1.,0.,0.,-1.,0.
0.,1.,-1.42485802,0.,-1.,-1.
0.,0.,0.,1.,0.,-1.
1.,0.,0.,0.,0.,1.
-1.1093684,1.,0.,-1.11123264,0.,0.
-1.,0.,-1.,1.,0.,-1.
-1.,-2.,1.,-1.,0.,2.
1.,2.,0.,1.,0.,-1.23661249
-1.27614668,-1.,-1.,1.,0.,0.
2.,-1.,0.,-1.03102096,0.,-1.
-1.,-1.,-1.45492951,1.,1.,-1.
-1.27168064,0.,-1.64118189,0.,0.,-1.29196757
-1.,0.,-2.,-1.,1.,-1.
-1.18399613,-1.,0.,-1.,-1.,-1.
-1.,1.,-1.01084935,2.,-1.,-1.19317363
-1.45200832,1.,0.,0.,-1.,0.
-1.525,0.,0.,-1.,-1.,-1.
-1.,-1.,0.,-1.,0.,0.
2.,0.,-1.05246183,-1.,1.,-1.
0.,1.,0.,-1.,-1.28077483,1.
-1.,0.,0.,1.,0.,-1.
2.,0.,1.,-1.22688253,2.,0.
-1.,-1.03671347,1.,0.,2.,-1.
-1.,0.,-1.,0.,-1.93359012,0.
-1.,-1.,0.,1.,-1.48650847,-1.
1.,0.,1.,-1.,-1.,0.
2.,-1.45153588,-2.,0.,-1.,-1.
0.,0.,-2.,0.,0.,1.
0.,0.,-1.,-1.,1.,-1.
-2.,-1.29945818,1.,-1.18217947,2.,0.
-1.5376034,0.,-1.,-1.,-1.28535809,-1.
0.,-1.,0.,-1.,0.,1.
0.,-1.,-1.,-1.6742064,-1.,-1.
-1.19539879,-1.,0.,0.,-1.,-2.
0.,1.,-1.,0.,-1.19773184,0.
0.,-1.,-1.,0.,0.,-1.
1.,-1.,0.,0.,-1.,2.
-1.,0.,1.,0.,-1.,2.
0.,-1.,-2.,0.,0.,1.
0.,-1.,0.,-1.,0.,0.
-1.37262032,-1.17072042,-1.,-1.,0.,1.
-1.20858565,1.,-1.,0.,2.,0.
0.,-1.,-1.,0.,0.,-1.
-1.,0.,2.,1.,0.,1.
-1.,-1.,-1.,-1.,1.,1.
0.,-1.,1.,0.,0.,-1.
-1.,-1.,0.,0.,-1.,0.
1.,-1.46394599,-1.,-1.,-1.,0.
